initial_index,raw_address
1,"25737 US Rt 11, Evans Mills NY 13637"
2,"901 Route 110, Farmingdale NY 11735"
3,"2400 Route 9, Fishkill NY 12524"
4,"10401 Bennett Road, Fredonia NY 14063"
5,"1818 State Route 3, Fulton NY 13069"
6,"4300 Lakeville Road, Geneseo NY 14454"
7,"990 Route 5 20, Geneva NY 14456"
8,"311 RT 9W, Glenmont NY 12077"
9,"200 Dutch Meadows Ln, Glenville NY 12302"
10,"100 Elm Ridge Center Dr, Greece NY 14626"
11,"1549 Rt 9, Halfmoon NY 12065"
12,"5360 Southwestern Blvd, Hamburg NY 14075"
13,"103 North Caroline St, Herkimer NY 13350"
14,"1000 State Route 36, Hornell NY 14843"
15,"1400 County Rd 64, Horseheads NY 14845"
16,"135 Fairgrounds Memorial Pkwy, Ithaca NY 14850"
17,"2 Gannett Dr, Johnson City NY 13790"
18,"233 5th Ave Ext, Johnstown NY 12095"
19,"453 N Avenue N, Lancaster, CA 90010"
20,"98877 N Avenue N, Lancaster, CA 90010"